timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681530288082,3870,GET CURRENT,200,OK,Test Jojonomic 1-1,text,true,,1153,297,1,1,https://api.weatherbit.io/v2.0/current?&lat=40.730610&lon=-73.935242&key=8793937f62c645fea059f41963b41e60,3862,0,3479
1681530291954,255,GET FORECAST,403,Forbidden,Test Jojonomic 1-1,text,false,,700,290,1,1,https://api.weatherbit.io/v2.0/forecast/3hourly?&postal_code=&key=8793937f62c645fea059f41963b41e60,255,0,0
1681530293969,3828,GET CURRENT,200,OK,Test Jojonomic 1-2,text,true,,1152,297,1,1,https://api.weatherbit.io/v2.0/current?&lat=40.730610&lon=-73.935242&key=8793937f62c645fea059f41963b41e60,3828,0,3570
1681530297798,254,GET FORECAST,403,Forbidden,Test Jojonomic 1-2,text,false,,700,290,1,1,https://api.weatherbit.io/v2.0/forecast/3hourly?&postal_code=&key=8793937f62c645fea059f41963b41e60,254,0,0
1681530299969,796,GET CURRENT,200,OK,Test Jojonomic 1-3,text,true,,1152,297,1,1,https://api.weatherbit.io/v2.0/current?&lat=40.730610&lon=-73.935242&key=8793937f62c645fea059f41963b41e60,796,0,540
1681530300768,251,GET FORECAST,403,Forbidden,Test Jojonomic 1-3,text,false,,700,290,1,1,https://api.weatherbit.io/v2.0/forecast/3hourly?&postal_code=&key=8793937f62c645fea059f41963b41e60,250,0,0
1681530305985,797,GET CURRENT,200,OK,Test Jojonomic 1-4,text,true,,1152,297,1,1,https://api.weatherbit.io/v2.0/current?&lat=40.730610&lon=-73.935242&key=8793937f62c645fea059f41963b41e60,797,0,543
1681530306783,251,GET FORECAST,403,Forbidden,Test Jojonomic 1-4,text,false,,700,290,1,1,https://api.weatherbit.io/v2.0/forecast/3hourly?&postal_code=&key=8793937f62c645fea059f41963b41e60,251,0,0
1681530311985,794,GET CURRENT,200,OK,Test Jojonomic 1-5,text,true,,1152,297,1,1,https://api.weatherbit.io/v2.0/current?&lat=40.730610&lon=-73.935242&key=8793937f62c645fea059f41963b41e60,794,0,539
1681530312780,258,GET FORECAST,403,Forbidden,Test Jojonomic 1-5,text,false,,700,290,1,1,https://api.weatherbit.io/v2.0/forecast/3hourly?&postal_code=&key=8793937f62c645fea059f41963b41e60,258,0,0
1681530317998,799,GET CURRENT,200,OK,Test Jojonomic 1-6,text,true,,1152,297,1,1,https://api.weatherbit.io/v2.0/current?&lat=40.730610&lon=-73.935242&key=8793937f62c645fea059f41963b41e60,799,0,543
1681530318798,256,GET FORECAST,403,Forbidden,Test Jojonomic 1-6,text,false,,700,290,1,1,https://api.weatherbit.io/v2.0/forecast/3hourly?&postal_code=&key=8793937f62c645fea059f41963b41e60,256,0,0
1681530323970,808,GET CURRENT,200,OK,Test Jojonomic 1-7,text,true,,1152,297,1,1,https://api.weatherbit.io/v2.0/current?&lat=40.730610&lon=-73.935242&key=8793937f62c645fea059f41963b41e60,808,0,550
1681530324779,255,GET FORECAST,403,Forbidden,Test Jojonomic 1-7,text,false,,700,290,1,1,https://api.weatherbit.io/v2.0/forecast/3hourly?&postal_code=&key=8793937f62c645fea059f41963b41e60,254,0,0
1681530329970,806,GET CURRENT,200,OK,Test Jojonomic 1-8,text,true,,1152,297,1,1,https://api.weatherbit.io/v2.0/current?&lat=40.730610&lon=-73.935242&key=8793937f62c645fea059f41963b41e60,805,0,549
1681530330778,255,GET FORECAST,403,Forbidden,Test Jojonomic 1-8,text,false,,700,290,1,1,https://api.weatherbit.io/v2.0/forecast/3hourly?&postal_code=&key=8793937f62c645fea059f41963b41e60,255,0,0
1681530335970,832,GET CURRENT,200,OK,Test Jojonomic 1-9,text,true,,1152,297,1,1,https://api.weatherbit.io/v2.0/current?&lat=40.730610&lon=-73.935242&key=8793937f62c645fea059f41963b41e60,832,0,569
1681530336803,1022,GET FORECAST,403,Forbidden,Test Jojonomic 1-9,text,false,,700,290,1,1,https://api.weatherbit.io/v2.0/forecast/3hourly?&postal_code=&key=8793937f62c645fea059f41963b41e60,1021,0,0
1681530341971,787,GET CURRENT,200,OK,Test Jojonomic 1-10,text,true,,1152,297,1,1,https://api.weatherbit.io/v2.0/current?&lat=40.730610&lon=-73.935242&key=8793937f62c645fea059f41963b41e60,787,0,533
1681530342758,253,GET FORECAST,403,Forbidden,Test Jojonomic 1-10,text,false,,700,290,1,1,https://api.weatherbit.io/v2.0/forecast/3hourly?&postal_code=&key=8793937f62c645fea059f41963b41e60,253,0,0
